Timestamp,Detected Number Plate
2026-06-08 14:43:55,TN77X5411
2026-06-08 14:47:17,TN30AH5907
2026-06-08 14:47:19,TÑ30AH5907
2026-06-08 14:47:21,TN50AH5907
2026-06-08 14:49:34,TN30AH5907
2026-06-08 14:49:39,TÑ30AH5907
2026-06-08 14:49:40,TN50AH5807
2026-06-08 14:49:42,TN50AH5907
2026-06-08 15:30:51,TN30AH5907
2026-06-08 15:31:00,TÑ30AH5907
2026-06-08 15:31:03,TN50AH5807
2026-06-08 15:31:05,TN50AH5907
2026-06-08 15:32:54,TN77X5411
2026-06-08 15:33:28,TN36AQ2153
2026-06-08 15:46:42,TN30AH5907
2026-06-08 15:46:50,TÑ30AH5907
2026-06-08 15:46:52,TN50AH5807
2026-06-08 15:46:55,TN50AH5907
